codProducto,nombre,kcal,tipoPostre,precioSinIVA,tipoIVA,precioConIVA,stock
CODPOS032,Helado de mango 31,307,TipoPostre.OTROS,1.69,IVA_DIEZ,1.86,20
CODPOS033,Helado de fresa 32,371,TipoPostre.OTROS,1.03,IVA_DIEZ,1.13,20
CODPOS034,Brownie de chocolate 33,453,TipoPostre.OTROS,4.31,IVA_DIEZ,4.74,20
CODPOS035,Bizcocho de naranja 34,446,TipoPostre.OTROS,3.13,IVA_DIEZ,3.44,20
CODPOS036,Tarta de manzana y canela 35,273,TipoPostre.OTROS,4.19,IVA_DIEZ,4.61,20
CODPOS037,Tarta de manzana 36,240,TipoPostre.OTROS,4.42,IVA_DIEZ,4.86,20
CODPOS038,Helado de cookies 37,400,TipoPostre.OTROS,1.93,IVA_DIEZ,2.12,20
CODPOS039,Pastel de kiwi 38,350,TipoPostre.OTROS,2.06,IVA_DIEZ,2.27,20
CODPOS040,Tarta de queso 39,317,TipoPostre.OTROS,1.53,IVA_DIEZ,1.68,20
CODPOS041,Pastel de zanahoria 40,272,TipoPostre.OTROS,2.42,IVA_DIEZ,2.66,20
CODPOS042,Brownie de chocolate 41,276,TipoPostre.OTROS,4.41,IVA_DIEZ,4.85,20
CODPOS043,Tarta de calabaza 42,282,TipoPostre.OTROS,1.83,IVA_DIEZ,2.01,20
CODPOS044,Helado de vainilla 43,483,TipoPostre.OTROS,1.24,IVA_DIEZ,1.36,20
CODPOS045,Tarta de frambuesa 44,441,TipoPostre.OTROS,1.61,IVA_DIEZ,1.77,20
CODPOS046,Tartaleta de fruta 45,229,TipoPostre.OTROS,4.29,IVA_DIEZ,4.72,20
CODPOS047,Pastel de zanahoria 46,314,TipoPostre.OTROS,4.57,IVA_DIEZ,5.03,20
CODPOS048,Gofres con frutas 47,321,TipoPostre.OTROS,4.17,IVA_DIEZ,4.59,20
CODPOS049,Tarta de manzana 48,273,TipoPostre.OTROS,3.39,IVA_DIEZ,3.73,20
CODPOS050,Pastel de arándanos 49,472,TipoPostre.OTROS,3.86,IVA_DIEZ,4.25,20
CODPOS051,Tarta de queso 50,412,TipoPostre.OTROS,2.43,IVA_DIEZ,2.67,20
CODPOS052,Tarta de queso 51,478,TipoPostre.OTROS,2.92,IVA_DIEZ,3.21,20
CODPOS053,Brownie de chocolate 52,464,TipoPostre.OTROS,3.2,IVA_DIEZ,3.52,20
CODPOS054,Crepes de nata 53,411,TipoPostre.OTROS,1.63,IVA_DIEZ,1.79,20
CODPOS055,Tarta de frambuesa 54,401,TipoPostre.OTROS,4.0,IVA_DIEZ,4.4,20
CODPOS056,Crepes de chocolate 55,465,TipoPostre.OTROS,4.44,IVA_DIEZ,4.88,20
CODPOS057,Helado de vainilla 56,397,TipoPostre.OTROS,4.51,IVA_DIEZ,4.96,20
CODPOS058,Gofres con miel 57,448,TipoPostre.OTROS,2.11,IVA_DIEZ,2.32,20
CODPOS059,Bizcocho de naranja 58,330,TipoPostre.OTROS,4.2,IVA_DIEZ,4.62,20
CODPOS060,Tarta de calabaza 59,440,TipoPostre.OTROS,3.97,IVA_DIEZ,4.37,20
CODPOS061,Pastel de limón 60,374,TipoPostre.OTROS,1.47,IVA_DIEZ,1.62,20
CODPOS062,Cheesecake de limón 61,302,TipoPostre.OTROS,3.99,IVA_DIEZ,4.39,20
CODPOS063,Tarta de queso 62,215,TipoPostre.OTROS,3.67,IVA_DIEZ,4.04,20
CODPOS064,Crepes de chocolate 63,459,TipoPostre.OTROS,4.41,IVA_DIEZ,4.85,20
CODPOS065,Tarta de calabaza 64,368,TipoPostre.OTROS,1.26,IVA_DIEZ,1.39,20
CODPOS066,Tarta de zanahoria 65,472,TipoPostre.OTROS,4.78,IVA_DIEZ,5.26,20
CODPOS067,Tiramisú 66,448,TipoPostre.OTROS,4.64,IVA_DIEZ,5.1,20
CODPOS068,Crepes de chocolate 67,269,TipoPostre.OTROS,2.6,IVA_DIEZ,2.86,20
CODPOS069,Tarta de frambuesa 68,217,TipoPostre.OTROS,4.0,IVA_DIEZ,4.4,20
CODPOS070,Brownie de chocolate 69,469,TipoPostre.OTROS,3.54,IVA_DIEZ,3.89,20
CODPOS071,Bizcocho de naranja 70,256,TipoPostre.OTROS,1.83,IVA_DIEZ,2.01,20
CODPOS072,Pastel de limón 71,491,TipoPostre.OTROS,3.21,IVA_DIEZ,3.53,20
CODPOS073,Bizcocho de naranja 72,375,TipoPostre.OTROS,1.47,IVA_DIEZ,1.62,20
CODPOS074,Tarta de lima 73,423,TipoPostre.OTROS,4.91,IVA_DIEZ,5.4,20
CODPOS075,Cheesecake de limón 74,311,TipoPostre.OTROS,1.92,IVA_DIEZ,2.11,20
CODPOS076,Helado de mango 75,213,TipoPostre.OTROS,4.81,IVA_DIEZ,5.29,20
CODPOS077,Gofres con miel 76,276,TipoPostre.OTROS,3.61,IVA_DIEZ,3.97,20
CODPOS078,Tarta de calabaza 77,421,TipoPostre.OTROS,1.38,IVA_DIEZ,1.52,20
CODPOS079,Bizcocho de naranja 78,348,TipoPostre.OTROS,4.25,IVA_DIEZ,4.68,20
CODPOS080,Pastel de terciopelo rojo 79,441,TipoPostre.OTROS,4.87,IVA_DIEZ,5.36,20
CODPOS081,Pastel de limón 80,340,TipoPostre.OTROS,4.52,IVA_DIEZ,4.97,20
CODPOS082,Tarta Sacher 81,487,TipoPostre.OTROS,3.7,IVA_DIEZ,4.07,20
CODPOS083,Gofres con miel 82,253,TipoPostre.OTROS,1.38,IVA_DIEZ,1.52,20
CODPOS084,Flan de caramelo 83,385,TipoPostre.OTROS,1.37,IVA_DIEZ,1.51,20
CODPOS085,Gofres con frutas 84,341,TipoPostre.OTROS,2.04,IVA_DIEZ,2.24,20
CODPOS086,Flan de caramelo 85,297,TipoPostre.OTROS,1.1,IVA_DIEZ,1.21,20
CODPOS087,Tarta de calabaza 86,438,TipoPostre.OTROS,2.6,IVA_DIEZ,2.86,20
CODPOS088,Gofres con miel 87,262,TipoPostre.OTROS,4.34,IVA_DIEZ,4.77,20
CODPOS089,Tarta de frambuesa 88,362,TipoPostre.OTROS,2.16,IVA_DIEZ,2.38,20
CODPOS090,Pastel de zanahoria 89,309,TipoPostre.OTROS,3.16,IVA_DIEZ,3.48,20
CODPOS091,Pastel de zanahoria 90,230,TipoPostre.OTROS,3.83,IVA_DIEZ,4.21,20
CODPOS092,Tarta de lima 91,240,TipoPostre.OTROS,2.6,IVA_DIEZ,2.86,20
CODPOS093,Tarta de calabaza 92,377,TipoPostre.OTROS,3.85,IVA_DIEZ,4.24,20
CODPOS094,Helado de mango 93,320,TipoPostre.OTROS,1.58,IVA_DIEZ,1.74,20
CODPOS095,Crepes de nata 94,231,TipoPostre.OTROS,3.12,IVA_DIEZ,3.43,20
CODPOS096,Helado de matcha 95,489,TipoPostre.OTROS,3.32,IVA_DIEZ,3.65,20
CODPOS097,Tarta de queso 96,221,TipoPostre.OTROS,1.72,IVA_DIEZ,1.89,20
CODPOS098,Gofres con frutas 97,452,TipoPostre.OTROS,2.53,IVA_DIEZ,2.78,20
CODPOS099,Tarta de lima 98,335,TipoPostre.OTROS,3.36,IVA_DIEZ,3.7,20
CODPOS100,Brownie de chocolate 99,280,TipoPostre.OTROS,1.87,IVA_DIEZ,2.06,20
